"name","uid","creationTimestamp","HostIP","IP","EngineStatus","Image","Ready","bytesTransferred to metrics services","Number of times metrics were scraped","Current number of active session.","Documents loaded into memory and have users connected.","Current number of requests.","Number of active reloads.","Current number of bytes in cache.","Current number of open QVF files","Number of users waiting to access QVF files","Qix license expiry time.","Current number of active protocols.","Total number of sessions since start","Total number of documents that were loaded since start.","Total number of requests.","Total number of selections.","Total number of cache hits since start.","Total number of cache lookups since start.","Total number of cache object added since start.","Total number of log messages since start."
"engine-6d5c7965c7-r77vk","b56d516a-2854-11e8-b60b-080027aac0e5","2018-03-15T13:28:12Z","10.0.2.15","172.17.0.4","OK","qlikea/engine:latest",true,6447941,606,0,0,0,0,0,0,0,2537430,1,0,0,0,0,0,0,0,0
"engine-6d5c7965c7-snkqq","b56ebf15-2854-11e8-b60b-080027aac0e5","2018-03-15T13:28:12Z","10.0.2.15","172.17.0.5","OK","qlikea/engine:latest",true,6448518,606,0,0,0,0,0,0,0,2537430,1,0,0,0,0,0,0,0,0
"engine-6d5c7965c7-chbff","97e7867e-2862-11e8-b60b-080027aac0e5","2018-03-15T15:07:35Z","10.0.2.15","172.17.0.9","OK","qlikea/engine:latest",true,116295,11,0,0,0,0,0,0,0,2537430,0,0,0,0,0,0,0,0,0
"engine-6d5c7965c7-kcrjg","97e532fc-2862-11e8-b60b-080027aac0e5","2018-03-15T15:07:35Z","10.0.2.15","172.17.0.8","OK","qlikea/engine:latest",true,116251,11,0,0,0,0,0,0,0,2537430,0,0,0,0,0,0,0,0,0
"engine-6d5c7965c7-bggxl","d483bf49-2862-11e8-b60b-080027aac0e5","2018-03-15T15:09:17Z","10.0.2.15","172.17.0.10","OK","qlikea/engine:latest",true,0,0,0,0,0,0,0,0,0,2537431,1,0,0,0,0,0,0,0,0
"engine-6d5c7965c7-fcrkg","d486ac80-2862-11e8-b60b-080027aac0e5","2018-03-15T15:09:17Z","10.0.2.15","172.17.0.11","OK","qlikea/engine:latest",true,0,0,0,0,0,0,0,0,0,2537430,1,0,0,0,0,0,0,0,0
"engine-6d5c7965c7-lkgj8","d485f26d-2862-11e8-b60b-080027aac0e5","2018-03-15T15:09:17Z","10.0.2.15","172.17.0.14","OK","qlikea/engine:latest",true,0,0,0,0,0,0,0,0,0,2537430,0,0,0,0,0,0,0,0,0
"engine-6d5c7965c7-nk8nq","d483cc83-2862-11e8-b60b-080027aac0e5","2018-03-15T15:09:17Z","10.0.2.15","172.17.0.12","OK","qlikea/engine:latest",true,0,0,0,0,0,0,0,0,0,2537430,1,0,0,0,0,0,0,0,0
"engine-6d5c7965c7-npqxz","d48c9146-2862-11e8-b60b-080027aac0e5","2018-03-15T15:09:17Z","10.0.2.15","172.17.0.15","OK","qlikea/engine:latest",true,0,0,0,0,0,0,0,0,0,2537431,0,0,0,0,0,0,0,0,0
"engine-6d5c7965c7-qdxh2","d4863950-2862-11e8-b60b-080027aac0e5","2018-03-15T15:09:17Z","10.0.2.15","172.17.0.16","OK","qlikea/engine:latest",true,0,0,0,0,0,0,0,0,0,2537431,1,0,0,0,0,0,0,0,0
"engine-6d5c7965c7-vwz4p","d480b666-2862-11e8-b60b-080027aac0e5","2018-03-15T15:09:17Z","10.0.2.15","172.17.0.13","OK","qlikea/engine:latest",true,0,0,0,0,0,0,0,0,0,2537430,0,0,0,0,0,0,0,0,0
